"","id","veg","log_ud_wt","log_avail","sel"
"33","15.04","Shrub swale",-0.697632270671862,-0.915289773215562,0.2176575025437
"34","15.04","Wooded swale",-4.20284949231144,-4.17463747739243,-0.0282120149190055
"35","15.05","Beachgrass dune",-9.09875947982757,-6.63660836419272,-2.46215111563485
"36","15.05","Brackish marsh",-1.70716631817814,-1.98825660853592,0.281090290357777
"37","15.05","Coastal scrub",-2.55681683694438,-2.92480558808241,0.367988751138025
"38","15.05","Conifer forest",-1.58847592608062,-1.23707693251004,-0.351398993570585
"39","15.05","Freshwater marsh",-4.51120515225526,-5.27601557351525,0.764810421259986
"40","15.05","Fruit tree",-6.17301899439828,-6.35141335071188,0.178394356313599
"41","15.05","Meadow",-1.54826769821103,-1.58161923466936,0.0333515364583326
"42","15.05","Pasture",-2.1021420949926,-1.59625792417619,-0.505884170816406
"43","15.05","Shrub swale",-2.08221430315306,-2.63450786812987,0.552293564976814
"44","15.05","Wooded swale",-2.7459559601108,-3.47565670436939,0.72970074425859
"45","15.06","Beach",-2.36852437683314,-1.45067921580953,-0.917845161023607
"46","15.06","Beachgrass dune",-2.39102445643843,-1.52400856573508,-0.867015890703344
"47","15.06","Coastal scrub",-2.22339779622262,-1.29321775211966,-0.930180044102965
"48","15.06","Conifer forest",-5.23764877915121,-3.08476740927378,-2.15288136987743
"49","15.06","Freshwater marsh",-2.78601284652166,-5.12439213422742,2.33837928770576
"50","15.06","Meadow",-0.915502910813777,-1.93521070294114,1.01970779212736
"51","15.06","Shrub swale",-1.42999516187826,-2.56030376596734,1.13030860408908
"52","15.07","Coastal scrub",-2.62376177623964,-2.22534253582935,-0.398419240410286
"53","15.07","Conifer forest",-0.789635073448901,-0.687670044778984,-0.101965028669917
"54","15.07","Freshwater marsh",-2.55791597690874,-2.31350165796825,-0.244414318940482
"55","15.07","Meadow",-5.60191960009845,-3.91679176105631,-1.68512783904214
"56","15.07","Shrub swale",-4.56516907749427,-3.59670491652877,-0.968464160965508
"57","15.07","Wooded swale",-0.962609209161037,-1.41473304070437,0.452123831543336
"58","15.08","Beachgrass dune",-9.39087850603617,-7.11051823123656,-2.28036027479962
"59","15.08","Brackish marsh",-1.20522380935928,-1.97726577006905,0.772041960709763
"60","15.08","Coastal scrub",-3.92985798624847,-2.92725387612523,-1.00260411012324
"61","15.08","Conifer forest",-2.47314984566265,-2.0364152864168,-0.436734559245857
"62","15.08","Freshwater marsh",-6.50538439832886,-3.7514885386729,-2.75389585965597
"63","15.08","Meadow",-3.28365279300977,-2.27663502889272,-1.00701776411705
"64","15.08","Pasture",-0.821818688468461,-0.723747964923417,-0.0980707235450436
"65","15.08","Shrub swale",-3.22221574116007,-3.77380331935378,0.551587578193715
"66","15.08","Wooded swale",-2.55307610537486,-3.15381181147968,0.600735706104822
"67","15.09","Brackish marsh",-1.93740432615398,-1.71564083179942,-0.221763494354556
"68","15.09","Coastal scrub",-3.74394360395658,-3.92416940267248,0.180225798715901
"69","15.09","Conifer forest",-1.76179492160549,-1.53771569918884,-0.22407922241665
"70","15.09","Freshwater marsh",-2.48084575697463,-3.2759492443127,0.795103487338067
"71","15.09","Meadow",-2.53423571861649,-2.36882764554956,-0.165408073066927
"72","15.09","Pasture",-0.90726449106066,-0.939086830422227,0.0318223393615669
"73","15.09","Shrub swale",-4.51040081273423,-4.73737893897021,0.226978126235983
"74","15.09","Wooded swale",-2.48999995947322,-2.91131769254209,0.421317733068876
"75","15.10","Brackish marsh",-7.38760437162768,-5.04583688026488,-2.3417674913628
"76","15.10","Coastal scrub",-3.528086092591,-3.16524695969568,-0.362839132895317
"77","15.10","Conifer forest",-0.842980560980999,-0.72959725568926,-0.113383305291739
